Title,Year,Genre,Director,Country,Duration,IMDb Rating,Main Actors,IMDb Votes
The Shawshank Redemption,1994,Drama,Frank Darabont,USA,142,9.3,"Tim Robbins, Morgan Freeman, Bob Gunton",3164324
The Godfather,1972,Crime,Francis Ford Coppola,USA,175,9.2,"Marlon Brando, Al Pacino, James Caan",2205717
The Dark Knight,2008,Action,Christopher Nolan,USA,152,9.1,"Christian Bale, Heath Ledger, Aaron Eckhart",3135889
Pulp Fiction,1994,Crime,Quentin Tarantino,USA,154,8.8,"John Travolta, Uma Thurman, Samuel L. Jackson",2410498
Inception,2010,Sci-Fi,Christopher Nolan,USA,148,8.8,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page",2793322
Forrest Gump,1994,Drama,Robert Zemeckis,USA,142,8.8,"Tom Hanks, Robin Wright, Gary Sinise",2477413
The Matrix,1999,Sci-Fi,Lana Wachowski,USA,136,8.7,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",2228203
Goodfellas,1990,Crime,Martin Scorsese,USA,146,8.7,"Robert De Niro, Ray Liotta, Joe Pesci",1378825
The Silence of the Lambs,1991,Thriller,Jonathan Demme,USA,118,8.6,"Jodie Foster, Anthony Hopkins, Scott Glenn",1708702
Schindler's List,1993,Historical,Steven Spielberg,USA,195,9.0,"Liam Neeson, Ralph Fiennes, Ben Kingsley",1573985
